vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos,FR_Hip_vel,FR_Thigh_vel,FR_Calf_vel,FL_Hip_vel,FL_Thigh_vel,FL_Calf_vel,RR_Hip_vel,RR_Thigh_vel,RR_Calf_vel,RL_Hip_vel,RL_Thigh_vel,RL_Calf_vel,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos
0.008642,0.000274,-0.000049,0.003899,0.03732,-0.000276,-0.378521,-0.178877,-0.457828,0.380942,-0.180734,-0.456007,-0.363813,-0.183279,-0.446632,0.365526,-0.184058,-0.445451,-0.020427,0.289894,-0.0337,0.005999,0.287552,-0.034166,0.018387,0.257974,0.017534,-0.018786,0.250042,0.025488,-0.378564,-0.185049,-0.45695,0.380846,-0.186882,-0.455073,-0.364578,-0.188745,-0.446826,0.366032,-0.189456,-0.44569
0.009314,0.000276,0.000011,0.00016,0.034268,0.000144,-0.378639,-0.173153,-0.458738,0.381075,-0.175084,-0.456789,-0.363024,-0.178111,-0.44653,0.364664,-0.17893,-0.445285,-0.012787,0.26097,-0.024301,0.007788,0.269057,-0.027809,0.024694,0.235218,0.020052,-0.034723,0.244015,0.013792,-0.378566,-0.179012,-0.457809,0.381032,-0.180871,-0.455984,-0.363598,-0.183264,-0.446687,0.365283,-0.18401,-0.445558
0.009914,0.000274,-0.000015,-0.002108,0.032372,-0.000415,-0.378605,-0.167862,-0.4595,0.381187,-0.16981,-0.457492,-0.362205,-0.173381,-0.446352,0.364017,-0.174208,-0.445037,0.025822,0.275605,-0.060455,0.018673,0.253445,-0.023406,0.019157,0.22412,0.019739,-0.00807,0.220799,0.023411,-0.378685,-0.173262,-0.458744,0.381194,-0.175193,-0.456778,-0.362819,-0.1781,-0.446587,0.364535,-0.178924,-0.445316
0.010481,0.000255,-0.000062,-0.00361,0.029516,-0.001309,-0.378486,-0.162417,-0.460344,0.381463,-0.164432,-0.458155,-0.361408,-0.168516,-0.446275,0.36338,-0.169324,-0.444948,0.030926,0.257284,-0.061714,0.018274,0.242328,-0.024822,0.016292,0.207138,0.019303,-0.023336,0.218104,0.009188,-0.378693,-0.168048,-0.459477,0.381239,-0.169977,-0.457471,-0.361998,-0.173401,-0.446408,0.363773,-0.174241,-0.445092
0.010996,0.000237,-0.000074,0.007998,0.029198,0.000665,-0.378363,-0.15767,-0.461162,0.381756,-0.159722,-0.458718,-0.360635,-0.164237,-0.446293,0.36292,-0.165106,-0.44477,0.001205,0.235335,-0.041787,0.002046,0.228903,-0.023877,0.037049,0.214255,-0.005604,-0.069093,0.222245,-0.0265,-0.378561,-0.162642,-0.46032,0.381537,-0.164602,-0.45813,-0.361203,-0.168593,-0.446311,0.363212,-0.169392,-0.444942
0.011469,0.000233,0.000028,0.005964,0.025372,-0.000105,-0.378473,-0.153211,-0.461854,0.381814,-0.155284,-0.459259,-0.360149,-0.160258,-0.446232,0.362347,-0.161119,-0.444585,-0.020037,0.205142,-0.016799,-0.027707,0.222814,-0.047957,-0.002897,0.17721,0.022399,-0.065258,0.208407,-0.027271,-0.378341,-0.157717,-0.461162,0.381947,-0.159696,-0.45869,-0.360473,-0.16421,-0.446281,0.362887,-0.164996,-0.44478
0.01191,0.000226,0.000052,0.001719,0.02494,-0.001071,-0.378426,-0.149073,-0.462492,0.381944,-0.151292,-0.459709,-0.359479,-0.156592,-0.44621,0.361864,-0.157569,-0.444365,0.000184,0.197379,-0.026857,-0.013942,0.20394,-0.043536,0.011073,0.164625,0.015664,0.001866,0.156617,0.0277,-0.37855,-0.153358,-0.461905,0.381999,-0.155366,-0.459212,-0.360035,-0.160304,-0.446268,0.362195,-0.161124,-0.444603
0.01233,0.000217,0.000023,-0.002783,0.024666,-0.001256,-0.378371,-0.145354,-0.463034,0.38211,-0.147563,-0.46016,-0.358851,-0.153276,-0.44613,0.361431,-0.154283,-0.444198,-0.010791,0.171169,-0.01522,0.01048,0.179906,-0.019526,0.037468,0.159304,0.002896,0.00747,0.143663,0.026993,-0.378531,-0.149267,-0.462444,0.381975,-0.151408,-0.4597,-0.359421,-0.156668,-0.446189,0.361718,-0.157585,-0.444396
0.012723,0.000209,0.000011,-0.001269,0.021454,-0.000585,-0.378258,-0.141905,-0.463611,0.382308,-0.144163,-0.460541,-0.358308,-0.150255,-0.446038,0.361048,-0.151273,-0.444019,0.011736,0.163774,-0.023415,0.012305,0.15827,-0.009151,0.062395,0.161924,-0.031465,0.008208,0.129138,0.028118,-0.378432,-0.145477,-0.463005,0.382154,-0.147706,-0.460139,-0.35875,-0.153338,-0.446112,0.361275,-0.154314,-0.444226
0.013075,0.000199,0.000019,0.001432,0.020434,-0.001057,-0.37823,-0.138776,-0.464061,0.382421,-0.141123,-0.46087,-0.3578,-0.147542,-0.445946,0.360647,-0.148578,-0.443845,-0.01224,0.144595,-0.012526,0.023634,0.136894,-0.001282,-0.001583,0.1177,0.020065,0.009294,0.113657,0.027793,-0.378241,-0.142033,-0.463657,0.382529,-0.144204,-0.460523,-0.358203,-0.150361,-0.445984,0.360901,-0.151217,-0.444095
