vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_hip_pos,FR_thigh_pos,FR_calf_pos,FL_hip_pos,FL_thigh_pos,FL_calf_pos,RR_hip_pos,RR_thigh_pos,RR_calf_pos,RL_hip_pos,RL_thigh_pos,RL_calf_pos,FR_hip_vel,FR_thigh_vel,FR_calf_vel,FL_hip_vel,FL_thigh_vel,FL_calf_vel,RR_hip_vel,RR_thigh_vel,RR_calf_vel,RL_hip_vel,RL_thigh_vel,RL_calf_vel
0.001949,-0.000043,0.000533,0.000251,0.00011,-0.000134,0.436723,-0.042625,-0.42419,0.428765,-0.042066,-0.42919,-0.424641,-0.040939,-0.433403,-0.426685,-0.043356,-0.430732,-0.001998,0.01459,-0.000253,-0.000604,0.014616,0.001043,-0.000967,0.014245,0.001422,0.004761,0.015783,-0.002559
0.001364,0.000004,0.000447,0.000432,0.000585,-0.000011,0.436696,-0.042377,-0.424192,0.428669,-0.041803,-0.429224,-0.424622,-0.040683,-0.433413,-0.426669,-0.043127,-0.430718,-0.001129,0.010994,-0.000171,-0.002334,0.0088,0.000522,-0.002139,0.009806,0.001436,-0.00012,0.009997,0.001372
0.000887,0.000054,0.000433,-0.000164,0.00101,-0.000111,0.436682,-0.042184,-0.424203,0.428661,-0.041651,-0.429195,-0.424602,-0.040496,-0.433423,-0.42662,-0.04294,-0.430718,-0.000974,0.008391,-0.001149,-0.001369,0.007147,0.001137,-0.001791,0.006714,0.001362,0.015063,0.013086,-0.008794
0.000466,0.000015,0.00035,0.000658,0.000831,-0.000067,0.436649,-0.042051,-0.424222,0.428612,-0.041533,-0.429183,-0.424589,-0.040364,-0.433442,-0.426563,-0.042839,-0.430724,-0.001608,0.005047,-0.000639,-0.003384,0.004347,0.000129,-0.00179,0.004193,0.000573,-0.000187,0.003166,0.001492
0.000132,0.000049,0.000317,-0.000343,0.000727,0.000009,0.436637,-0.041969,-0.424235,0.428561,-0.041473,-0.429185,-0.42456,-0.04028,-0.433462,-0.42654,-0.042782,-0.4307,-0.000829,0.003266,-0.000989,-0.00237,0.001894,-0.000261,0.002104,0.002667,-0.001132,0.001974,0.002264,0.000715
-0.00016,0.000072,0.000264,-0.000348,0.000632,-0.00006,0.436623,-0.041929,-0.424252,0.428516,-0.041452,-0.42919,-0.424563,-0.040262,-0.433452,-0.426491,-0.042763,-0.430695,-0.000517,0.001006,-0.000708,-0.002154,0.00037,-0.000327,-0.000219,0.000383,0.000591,0.002638,-0.000269,0.000076
-0.000391,0.000084,0.000222,-0.000143,0.00042,0.000004,0.436609,-0.041925,-0.424264,0.428471,-0.04146,-0.429199,-0.42456,-0.040267,-0.433447,-0.426449,-0.042784,-0.430692,-0.000934,-0.000472,-0.000609,-0.00228,-0.001155,-0.000528,0.000561,-0.001053,0.000008,0.001784,-0.001611,0.000171
-0.00058,0.000084,0.000181,0.000054,0.000239,0.000033,0.436585,-0.04195,-0.424275,0.428426,-0.041498,-0.429209,-0.424548,-0.040304,-0.433448,-0.426419,-0.042824,-0.43069,-0.001302,-0.001943,-0.000514,-0.002166,-0.002543,-0.000523,0.000589,-0.002464,-0.000051,0.001405,-0.002479,-0.000068
-0.000731,0.000079,0.000141,0.000136,0.000085,0.000037,0.436558,-0.042,-0.424284,0.428385,-0.041559,-0.429219,-0.424538,-0.040363,-0.433448,-0.426394,-0.042886,-0.430693,-0.001412,-0.003015,-0.000398,-0.001954,-0.003476,-0.000554,0.000551,-0.003379,-0.000005,0.001095,-0.003597,-0.000181
-0.000845,0.000073,0.000105,0.000189,-0.000052,0.000097,0.436528,-0.042069,-0.424291,0.428348,-0.041637,-0.429231,-0.424526,-0.04044,-0.433447,-0.426377,-0.042966,-0.430696,-0.001521,-0.003865,-0.000331,-0.00182,-0.004251,-0.000648,0.000578,-0.004252,0.000021,0.000676,-0.004336,-0.000174
-0.000931,0.00007,0.000061,0.000065,-0.000166,0.000081,0.4365,-0.042153,-0.424298,0.428316,-0.041728,-0.429245,-0.424515,-0.040533,-0.433445,-0.426364,-0.043059,-0.4307,-0.001342,-0.004524,-0.000298,-0.00143,-0.00481,-0.000744,0.000555,-0.004997,0.000199,0.000589,-0.004925,-0.000236
-0.000987,0.000069,0.000023,-0.00002,-0.000244,0.000073,0.436475,-0.042248,-0.424303,0.42829,-0.041827,-0.429261,-0.424504,-0.040638,-0.433439,-0.426353,-0.043162,-0.430705,-0.001199,-0.004948,-0.000287,-0.00118,-0.005154,-0.00085,0.000557,-0.005468,0.000279,0.000506,-0.00538,-0.000284
-0.001018,0.000068,-0.000008,-0.000047,-0.000292,0.000069,0.436451,-0.04235,-0.424309,0.428268,-0.041933,-0.429279,-0.424493,-0.040752,-0.433433,-0.426344,-0.043273,-0.430711,-0.001129,-0.005252,-0.000294,-0.001037,-0.005427,-0.000921,0.000504,-0.005848,0.000322,0.000386,-0.005679,-0.000315
-0.001028,0.000067,-0.000025,-0.000025,-0.00031,0.000063,0.436429,-0.042457,-0.424315,0.428248,-0.042043,-0.429297,-0.424485,-0.040871,-0.433426,-0.426338,-0.043388,-0.430717,-0.001082,-0.005425,-0.000263,-0.000986,-0.005578,-0.000935,0.000422,-0.006037,0.000335,0.000287,-0.005844,-0.000336
-0.00102,0.000065,-0.000032,-0.000024,-0.000306,0.000047,0.436408,-0.042566,-0.42432,0.428229,-0.042155,-0.429316,-0.424477,-0.040993,-0.433419,-0.426332,-0.043506,-0.430724,-0.001037,-0.005495,-0.000253,-0.000963,-0.005633,-0.000932,0.000388,-0.006117,0.000333,0.000245,-0.005955,-0.000319
-0.001,0.000062,-0.000047,-0.000028,-0.000297,0.000035,0.436389,-0.042676,-0.424325,0.428211,-0.042268,-0.429334,-0.424469,-0.041115,-0.433412,-0.426328,-0.043626,-0.43073,-0.000927,-0.00546,-0.000238,-0.000896,-0.005591,-0.000926,0.000376,-0.006074,0.000283,0.000201,-0.005941,-0.00032
-0.000968,0.000058,-0.00006,-0.000023,-0.000281,0.000026,0.436371,-0.042783,-0.424329,0.428193,-0.042378,-0.429353,-0.424462,-0.041235,-0.433406,-0.426324,-0.043743,-0.430736,-0.000855,-0.005321,-0.000251,-0.000862,-0.005456,-0.00093,0.000346,-0.005935,0.000227,0.000172,-0.005826,-0.000338
-0.000927,0.000054,-0.000075,-0.000017,-0.000263,0.000021,0.436354,-0.042888,-0.424335,0.428176,-0.042485,-0.429371,-0.424455,-0.041352,-0.433402,-0.426321,-0.043858,-0.430743,-0.000772,-0.005127,-0.000267,-0.000819,-0.005271,-0.000931,0.000312,-0.005724,0.000161,0.000144,-0.005643,-0.000363
-0.000877,0.000049,-0.000083,-0.000012,-0.000242,0.000017,0.436339,-0.042988,-0.42434,0.42816,-0.042588,-0.42939,-0.42445,-0.041464,-0.433399,-0.426318,-0.043968,-0.43075,-0.000711,-0.004875,-0.000284,-0.000792,-0.005033,-0.00092,0.000289,-0.005449,0.000104,0.000145,-0.005393,-0.000384
-0.000822,0.000045,-0.00008,-0.000007,-0.000216,0.000016,0.436325,-0.043082,-0.424346,0.428145,-0.042686,-0.429408,-0.424444,-0.04157,-0.433397,-0.426315,-0.044073,-0.430758,-0.000676,-0.0046,-0.000287,-0.000792,-0.00478,-0.000887,0.000283,-0.00515,0.000066,0.000178,-0.005117,-0.000387
-0.000764,0.00004,-0.000092,-0.000004,-0.000195,0.000017,0.436313,-0.043171,-0.424352,0.428129,-0.042778,-0.429425,-0.424439,-0.04167,-0.433396,-0.426312,-0.044172,-0.430765,-0.000591,-0.004269,-0.000307,-0.000731,-0.004472,-0.000871,0.000253,-0.00479,-0.000006,0.000172,-0.004779,-0.000423
-0.000704,0.000035,-0.000101,-0.000019,-0.000179,0.000018,0.436301,-0.043253,-0.424358,0.428115,-0.042864,-0.429443,-0.424434,-0.041761,-0.433397,-0.426308,-0.044264,-0.430774,-0.000514,-0.003909,-0.000334,-0.000673,-0.004122,-0.000871,0.000257,-0.004402,-0.000063,0.000203,-0.004407,-0.000459
-0.000638,0.00003,-0.000097,-0.00003,-0.000162,-0.000034,0.43629,-0.043331,-0.424365,0.428101,-0.042947,-0.429461,-0.424429,-0.04185,-0.433399,-0.426304,-0.044353,-0.430784,-0.000471,-0.003541,-0.00034,-0.000645,-0.003772,-0.000846,0.000276,-0.004007,-0.000096,0.000254,-0.004025,-0.000474
-0.000573,0.000025,-0.000091,-0.000028,-0.000141,0.000021,0.436281,-0.043401,-0.424373,0.428087,-0.043023,-0.429478,-0.424424,-0.041929,-0.433401,-0.426298,-0.044433,-0.430794,-0.000441,-0.003168,-0.00034,-0.000633,-0.00342,-0.000809,0.000284,-0.003603,-0.00013,0.0003,-0.003636,-0.000485
-0.00051,0.000021,-0.000084,-0.000026,-0.000121,-0.00003,0.436271,-0.043464,-0.42438,0.428073,-0.043091,-0.429495,-0.424419,-0.042001,-0.433405,-0.426292,-0.044506,-0.430805,-0.000414,-0.002809,-0.000338,-0.000625,-0.003082,-0.00077,0.000292,-0.003211,-0.000162,0.000345,-0.003262,-0.000492
-0.000449,0.000016,-0.00008,0.000046,-0.000078,0.000026,0.436262,-0.043519,-0.424388,0.428059,-0.043152,-0.429511,-0.424413,-0.042064,-0.433409,-0.426285,-0.04457,-0.430816,-0.00049,-0.002467,-0.00039,-0.000744,-0.002785,-0.000731,0.00014,-0.002856,-0.000204,0.000317,-0.002919,-0.000505
