vel_x, vel_y, vel_z, omega_x, omega_y, omega_z, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos, RF_HAA_vel, RF_HFE_vel, RF_KFE_vel, LF_HAA_vel, LF_HFE_vel, LF_KFE_vel, RH_HAA_vel, RH_HFE_vel, RH_KFE_vel, LH_HAA_vel, LH_HFE_vel, LH_KFE_vel, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos
0.005976, -0.000035, 0.001329, 0.000008, 0.004804, -0.000097, -0.420125, -0.06371, -0.436876, 0.42467, -0.061699, -0.433648, -0.422015, -0.065765, -0.430443, 0.415683, -0.066062, -0.435091, 0.000012, 0.04119, -0.004297, 0.000715, 0.041523, -0.003633, 0.006857, 0.036289, 0.002827, -0.006977, 0.037145, 0.002649, -0.420006, -0.064692, -0.436738, 0.4246, -0.062686, -0.433479, -0.422045, -0.066606, -0.430485, 0.415726, -0.066895, -0.435125
0.005204, -0.000022, 0.001239, -0.000149, 0.004472, -0.000131, -0.420125, -0.062945, -0.436958, 0.424684, -0.060933, -0.433718, -0.42188, -0.065096, -0.430384, 0.415544, -0.065379, -0.435036, 0.000351, 0.035829, -0.003864, 0.001089, 0.036027, -0.003091, 0.006668, 0.03127, 0.002797, -0.006201, 0.031923, 0.002729, -0.420016, -0.063826, -0.436826, 0.424628, -0.061823, -0.433551, -0.421921, -0.065845, -0.430424, 0.415607, -0.066124, -0.435061
0.006037, -0.000302, 0.000447, -0.00231, -0.001125, -0.000579, -0.420041, -0.062063, -0.437063, 0.42469, -0.060063, -0.433784, -0.421735, -0.064282, -0.4304, 0.415452, -0.064548, -0.435045, 0.011324, 0.051476, -0.006278, -0.000705, 0.050515, -0.003021, 0.007932, 0.050393, -0.006456, -0.001464, 0.052709, -0.006626, -0.420026, -0.063054, -0.436903, 0.424642, -0.06105, -0.433621, -0.421809, -0.065165, -0.43037, 0.415492, -0.065435, -0.435007
0.005626, -0.000309, 0.000093, 0.001759, 0.000541, -0.000186, -0.419901, -0.061339, -0.437155, 0.424756, -0.059341, -0.433809, -0.421627, -0.063611, -0.43045, 0.415435, -0.063824, -0.435117, -0.000845, 0.030749, -0.003281, 0.002361, 0.030633, 0.001423, -0.0027, 0.029694, -0.000519, 0.000709, 0.028353, 0.00167, -0.419994, -0.062325, -0.436982, 0.424655, -0.060317, -0.43367, -0.421707, -0.064521, -0.43033, 0.415393, -0.064764, -0.434974
0.004405, -0.000509, -0.000181, 0.004802, 0.001561, -0.00019, -0.42001, -0.060673, -0.437213, 0.42484, -0.058704, -0.433761, -0.421726, -0.062967, -0.430461, 0.415493, -0.063216, -0.435036, -0.007676, 0.035209, -0.004145, 0.002324, 0.031874, 0.002129, -0.005221, 0.033431, -0.001994, 0.000296, 0.031191, 0.004386, -0.419898, -0.061527, -0.437082, 0.424674, -0.059534, -0.4337, -0.421598, -0.063786, -0.43035, 0.415344, -0.064013, -0.434969
0.003672, -0.000213, 0.00043, -0.002849, 0.002071, -0.000516, -0.41996, -0.060086, -0.437252, 0.424853, -0.058116, -0.433801, -0.421631, -0.06242, -0.430472, 0.415431, -0.062622, -0.435074, 0.00601, 0.027874, -0.004434, 0.004385, 0.025709, -0.002403, 0.008551, 0.023672, -0.000902, -0.000653, 0.023451, -0.000905, -0.419712, -0.060622, -0.437242, 0.424803, -0.058639, -0.433734, -0.42152, -0.062932, -0.430481, 0.415406, -0.063077, -0.43511
0.002965, -0.000338, 0.000372, 0.002456, 0.002799, 0.000088, -0.419923, -0.059593, -0.437363, 0.424869, -0.05767, -0.43383, -0.421532, -0.061981, -0.430501, 0.415374, -0.062244, -0.435029, -0.000662, 0.02231, -0.005729, 0.000384, 0.020521, -0.000768, 0.003353, 0.020032, -0.001639, -0.002781, 0.01749, 0.003911, -0.419879, -0.060179, -0.437288, 0.42483, -0.058242, -0.433698, -0.421616, -0.062503, -0.430486, 0.415411, -0.062742, -0.434995
0.002048, -0.000173, 0.000905, 0.000608, 0.002339, 0.00006, -0.4199, -0.059228, -0.437423, 0.424877, -0.057305, -0.433856, -0.421428, -0.061658, -0.430491, 0.415314, -0.061915, -0.434978, 0.00107, 0.016617, -0.002361, -0.001119, 0.015764, -0.001067, 0.004743, 0.014469, 0.000842, -0.005121, 0.013728, 0.001838, -0.419818, -0.05971, -0.437272, 0.424852, -0.057732, -0.433728, -0.421551, -0.062059, -0.430453, 0.415385, -0.062208, -0.435045
0.001673, -0.000202, 0.000735, 0.000228, 0.002483, 0.000071, -0.419868, -0.058919, -0.437485, 0.424893, -0.057027, -0.433877, -0.421316, -0.061408, -0.430477, 0.415228, -0.061694, -0.434938, 0.001747, 0.013767, -0.003057, 0.000686, 0.012528, -0.000696, 0.005466, 0.011256, 0.000484, -0.003309, 0.009404, 0.002648, -0.41984, -0.059253, -0.437383, 0.424847, -0.057361, -0.433773, -0.421457, -0.061651, -0.430511, 0.415328, -0.061922, -0.434987
0.0013, -0.000145, 0.000569, -0.000741, 0.002391, -0.000032, -0.419835, -0.05868, -0.43754, 0.424919, -0.056797, -0.433899, -0.421205, -0.061218, -0.43046, 0.415178, -0.061518, -0.434889, 0.001929, 0.010664, -0.002454, 0.001667, 0.010561, -0.00132, 0.005636, 0.008408, 0.000846, -0.002044, 0.008407, 0.001946, -0.419771, -0.05897, -0.437456, 0.424907, -0.057066, -0.433784, -0.421336, -0.061415, -0.430499, 0.415309, -0.061658, -0.434938
